model_name,valid_log_loss,valid_accuracy,valid_macro_f1,max_features,ngram_range,C,random_state,notes,model_checkpoint,max_length,train_rows,valid_rows,train_batch_size,eval_batch_size,gradient_accumulation_steps,train_rows_original,train_rows_augmented,best_alpha,raw_valid_log_loss,weight_ab_swap,weight_word_char,submission_created,best_word_char_C,best_word_char_valid_log_loss
tfidf_logistic_regression,1.1393196500332492,0.3802192066805845,0.3807604160445528,100000.0,"(1, 2)",2.0,42,"TF-IDF on prompt_clean, response_a_clean, and response_b_clean. No model names used.",,,,,,,,,,,,,,,,
tfidf_logistic_regression,1.1393196500332492,0.3802192066805845,0.3807604160445528,100000.0,"(1, 2)",2.0,42,"TF-IDF on prompt_clean, response_a_clean, and response_b_clean. No model names used.",,,,,,,,,,,,,,,,
tfidf_logistic_regression_tuned,1.0808773529013118,0.3852644398051496,0.3835756744651201,100000.0,"(1, 2)",0.1,42,"tuned C, max_features and ngram_range",,,,,,,,,,,,,,,,
distilbert_debug,1.078857988819705,0.3888888888888889,0.376489106169534,,,,42,DistilBERT debug finetuning on at most 1500 samples per class.,distilbert-base-uncased,256.0,3600.0,900.0,,,,,,,,,,,,
distilbert_debug,1.0787550730456337,0.3922222222222222,0.3797313192535701,,,,42,DistilBERT debug finetuning on at most 1500 samples per class.,distilbert-base-uncased,256.0,3600.0,900.0,,,,,,,,,,,,
distilbert_medium,1.0869483114725589,0.3719444444444444,0.3718481342408896,,,,42,"DistilBERT finetuning on at most 6000 samples per class, max_length=384.",distilbert-base-uncased,384.0,14400.0,3600.0,8.0,16.0,1.0,,,,,,,,,
tfidf_logistic_regression_ab_swap,1.0781056826605382,0.3954418928322895,0.3963002702774735,100000.0,"(1, 2)",0.1,42,TF-IDF Logistic Regression with A/B swap augmentation. Validation set not augmented. Swap-test averaging submission also saved.,,,,11496.0,,,,45981.0,91962.0,,,,,,,
tfidf_word_char_ab_swap_smooth,1.0789975236497449,0.3873521224773834,0.3879939094963794,word_100000_char_50000,"word_(1,2)_char_(3,5)",0.1,42,"TF-IDF word + char features with A/B swap augmentation, swap-test averaging, and probability smoothing.",,,,11496.0,,,,45981.0,91962.0,0.1,1.0792831454897864,,,,,
ensemble_ab_swap_word_char,1.0779930707241805,0.3963117606123869,0.3972235683261539,,,,42,Weighted probability ensemble of A/B swap TF-IDF model and word+char TF-IDF model.,,,,,,,,,,,,0.7,0.3,True,,
ensemble_ab_swap_tuned_word_char,1.0779895249900804,0.39639874739039666,0.39723970985629614,word_100000_char_50000,"word_(1,2)_char_(3,5)",0.05,42,Weighted probability ensemble of A/B swap TF-IDF model and tuned word+char TF-IDF model.,,,,,,,,,,,,0.7,0.30000000000000004,True,0.05,1.0784293720515206
