sensitivity_parameter,parameter_value,valid_log_loss,valid_accuracy,valid_macro_f1,max_features,ngram_range,C
C,0.05,1.0823977035973775,0.3850904662491301,0.3814205346810033,30000.0,"(1, 2)",
C,0.1,1.0808773529013118,0.3852644398051496,0.3835756744651201,100000.0,"(1, 2)",
C,0.3,1.082724109779122,0.3877000695894224,0.3879138538256746,100000.0,"(1, 2)",
C,0.5,1.0881263312899976,0.3835247042449548,0.3838632367460746,100000.0,"(1, 2)",
C,1.0,1.1047802593540297,0.3816979819067502,0.3822168741029457,100000.0,"(1, 2)",
max_features,30000,1.0814125973730018,0.3838726513569937,0.3827998564583022,,"(1, 2)",0.1
max_features,50000,1.0809921423833744,0.3867432150313152,0.3853975683397685,,"(1, 2)",0.1
max_features,100000,1.0808773529013118,0.3852644398051496,0.3835756744651201,,"(1, 2)",0.1
ngram_range,"(1, 1)",1.0820401759290277,0.3882219902574809,0.3871300987142174,100000.0,,0.1
ngram_range,"(1, 2)",1.0808773529013118,0.3852644398051496,0.3835756744651201,100000.0,,0.1
